task_id;task_name;measurement;subtasks
1;Расчистка от лесорастительности;га;"Состав работ:
01. Вырубка кустарника и подроста мешающего валке.
02. Уборка сухостойных и зависших деревьев.
03. Валка деревьев.
04. Корчевка пней.
05. Расчистка лесосеки от порубочных остатков.
06. Устройство разделочных площадок, разделка деревьев.
07. Застроповка хлыстов и их отцепка, трелевка.
08. Засыпка ям."
2;Расчистка от лесорастительности при строительстве трубопроводов Д мм <325;км;"Состав работ:
01. Вырубка кустарника и подроста мешающего валке.
02. Уборка сухостойных и зависших деревьев.
03. Валка деревьев.
04. Корчевка пней.
05. Расчистка лесосеки от порубочных остатков.
06. Устройство разделочных площадок, разделка деревьев.
07. Застроповка хлыстов и их отцепка, трелевка.
08. Засыпка ям."
3;Расчистка от лесорастительности при строительстве трубопроводов Д мм 377-630;км;"Состав работ:
01. Вырубка кустарника и подроста мешающего валке.
02. Уборка сухостойных и зависших деревьев.
03. Валка деревьев.
04. Корчевка пней.
05. Расчистка лесосеки от порубочных остатков.
06. Устройство разделочных площадок, разделка деревьев.
07. Застроповка хлыстов и их отцепка, трелевка.
08. Засыпка ям."
4;Расчистка от лесорастительности при строительстве трубопроводов Д мм 720-1020;км;"Состав работ:
01. Вырубка кустарника и подроста мешающего валке.
02. Уборка сухостойных и зависших деревьев.
03. Валка деревьев.
04. Корчевка пней.
05. Расчистка лесосеки от порубочных остатков.
06. Устройство разделочных площадок, разделка деревьев.
07. Застроповка хлыстов и их отцепка, трелевка.
08. Засыпка ям."
5;Расчистка от лесорастительности при строительстве трубопроводов Д мм 1220-1420;км;"Состав работ:
01. Вырубка кустарника и подроста мешающего валке.
02. Уборка сухостойных и зависших деревьев.
03. Валка деревьев.
04. Корчевка пней.
05. Расчистка лесосеки от порубочных остатков.
06. Устройство разделочных площадок, разделка деревьев.
07. Застроповка хлыстов и их отцепка, трелевка.
08. Засыпка ям."
6;Мульчирование;га;"Состав работ:
01. Мульчирование самоходным мульчером."
7;Мульчирование при строительстве трубопроводов Д мм <325;км;"Состав работ:
01. Мульчирование лесозаготовительными машинами."
8;Мульчирование при строительстве трубопроводов Д мм 377-630;км;"Состав работ:
01. Мульчирование лесозаготовительными машинами."
9;Мульчирование при строительстве трубопроводов Д мм 720-1020;км;"Состав работ:
01. Мульчирование лесозаготовительными машинами."
10;Мульчирование при строительстве трубопроводов Д мм 1220-1420;км;"Состав работ:
01. Мульчирование лесозаготовительными машинами."
11;Расчистка от снега;км;"Состав работ:
01. Уборка снега механизмами."
12;Расчистка от снега механизированная;м3;"Состав работ:
01. Расчистка от снега механизированным способом."
13;Расчистка от снега вручную;м3;"Состав работ:
01. Очистка вручную мест, недоступных для механизмов, с перекидкой снега на расстояние до 3 м, или погрузкой на транспортные средства."
14;Техническая рекультивация;га;"Состав работ:
01. Планировка площадей бульдозерами."
15;Биологическая рекультивация;га;"Состав работ:
01. Внесение с механизированной загрузкой и разбрасыванием удобрений минеральных.
02. Культивация почвы с одновременным боронованием.
03. Посев многолетних трав.
04. Прикатывание посевов."
16;Лесовосстановление;га;"Состав работ:
01. Вспашка почвы.
02. Внесение минеральных удобрений туковой сеялкой-разбрасывателем с механизированной загрузкой.
03. Вспашка почвы на глубину до 30 см.
04. Боронование почвы в один след.
05. Нарезка борозд.
06. Кратковременная прикопка сеянцев, подготовка их к посадке (извлечение из прикопа и подрезка корней).
07. Посадка сеянцев в борозды механизированная.
08. Полив из шланга поливомоечной машины.
09. Культивация междурядий с одновременным уходом в рядах."
17;Разработка грунта;м3;"Состав работ:
01. Разработка грунта экскаватором в отвал.
02. Частичная разработка грунта вручную.
03. Зачистка дна и стенок канав.
04. Перемещение грунта. 
05. Разравнивание грунта на естественной берме.
Группы грунтов приняты усредненно: 
- 1-2 гр. - 35%;
- 3-4 гр. - 55%;
- 5-6 гр. - 10%."
18;Разработка грунта вручную;м3;"Состав работ:
01. Разработка грунта с выбрасыванием на бровку.
02. Зачистка дна и поверхности стенок.
03. Откидка грунта от бровки.
Группы грунтов приняты усредненно: 
- 1-2 гр. - 35%;
- 3-4 гр. - 55%;
- 5-6 гр. - 10%."
19;Разработка грунта бульдозером;м3;"Состав работ:
01. Разработка грунта с перемещением до 15 м.
Группы грунтов приняты усредненно: 
- 1-2 гр. - 40%;
- 3-4 гр. - 60%."
