task_name,standard_task_id,task_id,search_result
Монтаж оборудования массой до 13 тн (Блок трансформатора собственных нужд 4000 кг),958,,тн оборудования массой демонтаж монтаж
Прокладка металлорукава,863,,водоотлив лесовосстановление металлорукава посев обоями
"Устройство основания (песчаное, щебень, ПГС)",39,,устройство газонов стяжки отмостки бетонной
Монтаж оборудования сетей ЭМ (ЩИТ),894,,оборудования сетей демонтаж монтаж оэ
Прокладка металлорукава,863,,водоотлив лесовосстановление металлорукава посев обоями
Прокладка металлорукава,863,,водоотлив лесовосстановление металлорукава посев обоями
Установка программного обеспечения: конфигурация и настройка оборудования СПД,942,,обеспечения барьерным системы воздухом монтаж
АКЗ м/к лакокрасочным покрытием,206,,поверхности лакокрасочным покрытием акз очистка
Установка программного обеспечения: оборудование АСПС,942,,обеспечения барьерным системы воздухом монтаж
АКЗ м/к лакокрасочным покрытием (сваи),206,,поверхности лакокрасочным покрытием акз очистка
Монтаж м/к фундаментов и ростверков (мачты),151,,мк ростверков фундаментов изготовление конструктивных
Обварка м/к фундаментов и ростверков после их монтажа (мачты),152,,мк ростверков фундаментов изготовление конструктивных
"Устройство основания (песчаное, щебень, ПГС)",39,,устройство газонов стяжки отмостки бетонной
АКЗ м/к лакокрасочным покрытием (сваи),206,,поверхности лакокрасочным покрытием акз очистка
"Устройство основания (песчаное, щебень, ПГС)",39,,устройство газонов стяжки отмостки бетонной
Монтаж м/к фундаментов и ростверков (эстакада),151,,мк ростверков фундаментов изготовление конструктивных
Обварка м/к фундаментов и ростверков после их монтажа (эстакада),152,,мк ростверков фундаментов изготовление конструктивных
"Устройство основания (песчаное, щебень, ПГС)",39,,устройство газонов стяжки отмостки бетонной
АКЗ м/к лакокрасочным покрытием (сваи),206,,поверхности лакокрасочным покрытием акз очистка
Армирование монолитных железобетонных конструкций (кабельные лотки),117,,армирование монолитных участков бетона конструкций
Бетонирование отдельных конструкций в мелкощитовой опалубке (кабельные лотки),125,,бетонирование фундаментов перекрытия полов оборудование
Монтаж железобетонных лотков (шт),720,,лотков железобетонных монтаж перекрытий водоотводных
Монтаж железобетонных лотков (м. куб.),722,,лотков железобетонных монтаж перекрытий водоотводных
"Устройство основания (песчаное, щебень, ПГС)",39,,устройство газонов стяжки отмостки бетонной
