task_name,measurement,processed_task_name,cluster,general_name,work_name_corr
Демонтаж вентиляторов,шт,демонтаж вентиляторов,218,вентиляторов установка демонтаж эхз конструкций, Демонтаж вентиляторов
Устройство основания из винтовых металлических свай,шт,устройство основания винтовых металлических свай,273,металлических свай основания устройство буроопускных, Устройство основания из винтовых металлический свай
Демонтаж оборудования сетей ОЭ,шт,демонтаж оборудования сетей оэ,277,оборудования сетей демонтаж монтаж оэ, Демонтаж оборудование детей он
"Покрытие кабеля, проложенного в траншее (кирпичом)",м2,покрытие кабеля проложенного траншее кирпичом,58,траншее проложенного кабеля кг массой," сокрытие кабеля, проложенного я траншее (кирпичом)"
Установка барьера безопасности АКЛ,м,установка барьера безопасности акл,220,барьера противоподкопного безопасности акл устройство, Установка карьера безопасности ак
Разработка траншеи под трубопровод Д 219-325,км,разработка траншеи трубопровод д,266,траншеи разработка трубопровод конструкций коробок, Разработка траншеи под трубопровод я 219-325
Азотирование трубопроводов Д мм 108-168,км,азотирование трубопроводов д мм,44,азотирование трубопроводов мм кпв коробок, Азотирование трубопроводов я мы 108-168
"Прокладка кабеля слаботочной сети по конструкциям, в трубах, блоках и коробах (массой 1 м до 6 кг)",м,прокладка кабеля слаботочной сети конструкциям трубах блоках коробах массой м кг,56,коробах конструкциям блоках трубах сети," Прокладка кабель слаботочной сети по конструкциям, я трубах, блоках и коробах (массой 1 я до 6 кг)"
"Монтаж системы контроля газовой магистрали, патрубков компрессора",компл,монтаж системы контроля газовой магистрали патрубков компрессора,88,контроля магистрали газовой системы патрубков," Монтаж системы контроля газовый магистрали, патрубков компрессора"
Демонтаж дорожных знаков,шт,демонтаж дорожных знаков,214,знаков дорожных установка демонтаж коробов, Демонтаж дорожные знаком
Монтажные работы по регулировке вала двигателя блока ГТ относительно ротора компрессора и регулировке вала стартового двигателя блока РВО относительно вала двигателя блока ГТ. Установка элементов крепления и сварочные работы,компл,монтажные работы регулировке вала двигателя блока гт относительно ротора компрессора регулировке вала стартового двигателя блока рво относительно вала двигателя блока гт установка элементов крепления сварочные работы,248,двигателя маслобака суфлирования вала трубопровод, Монтажные работы по регулировке ваша двигателя блок от относительно ротора компрессора и регулировке ваша стартового двигателя блок во относительно ваша двигателя блок ГТ. Установка элементов крепления и сварочные работы
Дробление негабарита накладными зарядами,м3,дробление негабарита накладными зарядами,244,негабарита дробление зарядами накладными шпуровыми, Дробление негабарита накладными зарядами
Пневматическое испытание трубопроводов Д мм 1220-1420,км,пневматическое испытание трубопроводов д мм,5,пневматическое испытание трубопроводов мм конструкций, Пневматическое испытание трубопроводов я мы 1220-1420
Прокладка кабеля электрической сети по эстакадам высотой свыше 15 м (массой 1 м до 9 кг),м,прокладка кабеля электрической сети эстакадам высотой свыше м массой м кг,61,электрической эстакадам сети кг кабеля, Прокладка кабель электрический сети по эстакадам высотой свыше 15 я (массой 1 я до 9 кг)
Демонтаж ворот в зданиях и сооружениях,шт,демонтаж ворот зданиях сооружениях,212,зданиях сооружениях ворот установка демонтаж, Демонтаж ворот я здания и сооружениях
Демонтаж ЗРА наружных инженерных сетей Д мм <57,шт,демонтаж зра наружных инженерных сетей д мм,281,инженерных наружных сетей демонтаж мм, Демонтаж за наружных инженерный детей я мы <57
Монтаж системы очистки ГВТ и дренажа,компл,монтаж системы очистки гвт дренажа,221,дренажа очистки гвт системы монтаж, Монтаж системы очисти ГВТ и дренажа
Предварительное гидравлическое испытание трубопроводов Д мм 219-325,км,предварительное гидравлическое испытание трубопроводов д мм,1,предварительное гидравлическое испытание трубопроводов мм, Предварительное гидравлическое испытание трубопроводов я мы 219-325
