task_id,task_name,measurement,processed_task_name,cluster,general_name
1,Расчистка от лесорастительности,га,расчистка лесорастительности,48,лесорастительности расчистка строительстве трубопроводов мм
2,Расчистка от лесорастительности при строительстве трубопроводов Д мм <325,км,расчистка лесорастительности строительстве трубопроводов д мм,48,лесорастительности расчистка строительстве трубопроводов мм
3,Расчистка от лесорастительности при строительстве трубопроводов Д мм 377-630,км,расчистка лесорастительности строительстве трубопроводов д мм,48,лесорастительности расчистка строительстве трубопроводов мм
4,Расчистка от лесорастительности при строительстве трубопроводов Д мм 720-1020,км,расчистка лесорастительности строительстве трубопроводов д мм,48,лесорастительности расчистка строительстве трубопроводов мм
5,Расчистка от лесорастительности при строительстве трубопроводов Д мм 1220-1420,км,расчистка лесорастительности строительстве трубопроводов д мм,48,лесорастительности расчистка строительстве трубопроводов мм
6,Мульчирование,га,мульчирование,46,мульчирование строительстве трубопроводов мм колодцев
7,Мульчирование при строительстве трубопроводов Д мм <325,км,мульчирование строительстве трубопроводов д мм,46,мульчирование строительстве трубопроводов мм колодцев
8,Мульчирование при строительстве трубопроводов Д мм 377-630,км,мульчирование строительстве трубопроводов д мм,46,мульчирование строительстве трубопроводов мм колодцев
9,Мульчирование при строительстве трубопроводов Д мм 720-1020,км,мульчирование строительстве трубопроводов д мм,46,мульчирование строительстве трубопроводов мм колодцев
10,Мульчирование при строительстве трубопроводов Д мм 1220-1420,км,мульчирование строительстве трубопроводов д мм,46,мульчирование строительстве трубопроводов мм колодцев
11,Расчистка от снега,км,расчистка снега,47,снега расчистка механизированная вручную конструкций
12,Расчистка от снега механизированная,м3,расчистка снега механизированная,47,снега расчистка механизированная вручную конструкций
13,Расчистка от снега вручную,м3,расчистка снега вручную,47,снега расчистка механизированная вручную конструкций
14,Техническая рекультивация,га,техническая рекультивация,245,рекультивация биологическая техническая эхз конструкции
15,Биологическая рекультивация,га,биологическая рекультивация,245,рекультивация биологическая техническая эхз конструкции
16,Лесовосстановление,га,лесовосстановление,254,водоотлив лесовосстановление металлорукава посев обоями
17,Разработка грунта,м3,разработка грунта,96,разработка грунта скального бульдозером экскаватором
18,Разработка грунта вручную,м3,разработка грунта вручную,96,разработка грунта скального бульдозером экскаватором
19,Разработка грунта бульдозером,м3,разработка грунта бульдозером,96,разработка грунта скального бульдозером экскаватором
20,Разработка скального грунта бульдозером,м3,разработка скального грунта бульдозером,96,разработка грунта скального бульдозером экскаватором
21,Разработка грунта экскаватором,м3,разработка грунта экскаватором,96,разработка грунта скального бульдозером экскаватором
22,Разработка скального грунта экскаватором,м3,разработка скального грунта экскаватором,96,разработка грунта скального бульдозером экскаватором
23,Разработка с погрузкой грунта в карьере,м3,разработка погрузкой грунта карьере,96,разработка грунта скального бульдозером экскаватором
24,Разработка с погрузкой скального грунта в карьере,м3,разработка погрузкой скального грунта карьере,96,разработка грунта скального бульдозером экскаватором
25,Рыхление грунта (бульдозером),м3,рыхление грунта бульдозером,92,рыхление грунта зарядами гидромолотом бульдозером
26,Рыхление мерзлого грунта методом БВР (вращательное бурение),м3,рыхление мерзлого грунта методом бвр вращательное бурение,92,рыхление грунта зарядами гидромолотом бульдозером
27,Рыхление грунта (гидромолотом),м3,рыхление грунта гидромолотом,92,рыхление грунта зарядами гидромолотом бульдозером
28,Рыхление грунта (вручную),м3,рыхление грунта вручную,92,рыхление грунта зарядами гидромолотом бульдозером
29,Разработка траншеи под трубопровод Д <57,км,разработка траншеи трубопровод д,266,траншеи разработка трубопровод конструкций коробок
30,Разработка траншеи под трубопровод Д 57-89,км,разработка траншеи трубопровод д,266,траншеи разработка трубопровод конструкций коробок
31,Разработка траншеи под трубопровод Д 108-168,км,разработка траншеи трубопровод д,266,траншеи разработка трубопровод конструкций коробок
32,Разработка траншеи под трубопровод Д 219-325,км,разработка траншеи трубопровод д,266,траншеи разработка трубопровод конструкций коробок
33,Разработка траншеи под трубопровод Д 377-630,км,разработка траншеи трубопровод д,266,траншеи разработка трубопровод конструкций коробок
34,Разработка траншеи под трубопровод Д 720-1020,км,разработка траншеи трубопровод д,266,траншеи разработка трубопровод конструкций коробок
35,Разработка траншеи под трубопровод Д 1220-1420,км,разработка траншеи трубопровод д,266,траншеи разработка трубопровод конструкций коробок
36,Разработка грунта экскаватором со сланей (на заболоченных и обводненных участках),м3,разработка грунта экскаватором сланей заболоченных обводненных участках,268,заболоченных участках обводненных сланей экскаватором
37,Водоотлив,м3,водоотлив,254,водоотлив лесовосстановление металлорукава посев обоями
38,Устройство насыпи,м3,устройство насыпи,259,насыпи планировка откосов механизированная устройство
39,"Устройство основания (песчаное, щебень, ПГС, ЦПС)",м3,устройство основания песчаное щебень пгс цпс,154,устройство газонов стяжки отмостки бетонной
40,Полив водой уплотняемого грунта,м3,полив водой уплотняемого грунта,94,водой водолазами грунта разработка подбивка
